"cls_final","subject_name","V1","V2"
"cls_197","Computer Science",108.898271412308,205.337352730327
"cls_198","Materials Science",134.605346460358,228.01821916417
"cls_199","Medicine",126.601735125858,188.175362308296
"cls_2","Materials Science",136.610014041646,229.703302520852
"cls_20","Materials Science",141.520872940573,232.830076143495
"cls_200","Neuroscience",118.153469786673,196.925679926688
"cls_201","Computer Science",117.610571893453,206.196413452566
"cls_202","Engineering",139.149143768742,208.872014950733
"cls_203","Engineering",103.412349515405,199.899618720239
"cls_204","Medicine",130.903470406292,191.976226223605
"cls_205","Medicine",136.219347369893,208.868982938504
"cls_206","Medicine",141.575420810069,191.372552300914
"cls_207","Engineering",110.650620309302,202.760240343549
"cls_208","Biochemistry, Genetics and Molecular Biology",137.998143954723,208.396696363984
"cls_209","Biochemistry, Genetics and Molecular Biology",128.952456077636,200.643034806084
"cls_21","Chemistry",145.039577681919,217.210873389264
"cls_210","Agricultural and Biological Sciences",123.275028082969,207.623645300405
"cls_211","Medicine",138.774558964813,199.176114008636
"cls_212","Physics and Astronomy",97.1832026823078,228.702162210321
"cls_213",NA,118.986820414657,206.059210153849
"cls_214","Materials Science",127.704635107442,227.384316497743
"cls_215","Chemistry",139.096731867647,211.391409870784
"cls_216","Medicine",144.063232765585,202.067001736829
"cls_217","Medicine",127.060453151051,187.245352514627
"cls_218","Medicine",137.274169589573,206.350269339649
"cls_219","Medicine",130.280756456482,197.247749468432
"cls_22","Physics and Astronomy",104.032258616941,237.192686284381
"cls_220",NA,126.792082843548,204.510963332648
"cls_221","Biochemistry, Genetics and Molecular Biology",135.79261041761,192.526102395029
"cls_222","Medicine",118.381265228284,194.344505519443
"cls_223","Medicine",134.39015750587,196.813882289905
"cls_224","Computer Science",113.29781448746,208.111709313707
"cls_225","Medicine",135.612980014057,206.74713267483
"cls_226","Biochemistry, Genetics and Molecular Biology",128.833929616354,199.259945853251
"cls_227","Chemistry",132.949654323167,212.349682589691
"cls_228","Medicine",119.064761649847,190.92335895993
"cls_229","Medicine",126.452049888594,193.12913033917
"cls_23","Materials Science",136.569297356966,233.497960556873
"cls_230","Energy",124.818138988612,221.302467116921
"cls_231","Biochemistry, Genetics and Molecular Biology",135.403328699318,200.021517762297
"cls_232","Business, Management and Accounting",109.634815696586,198.870459160417
"cls_233","Materials Science",125.743367853462,226.715566973771
"cls_234","Agricultural and Biological Sciences",121.623124210032,207.893697343961
"cls_235","Materials Science",120.734557492136,225.50200894372
